ANSWER,QUESTION.question,QUESTION.paragraph
"The main concerns include the rapid decrease of organic carbon content in soil, low efficiency of water utilization, heavy water losses during conveyance and application, and the overuse of available water.",What are the main concerns related to the current irrigation practices in India?,"With intensive cropping system, organic carbon content of the soil is rapidly decreasing resulting in overall deterioration of physical, chemical and biological properties of soil. It has been estimated that 80% of available water in India is being used for irrigation purposes. However the efficiency of water utilization at farmers’ fields has been very low because of heavy water loses during conveyance and application at the field level."
Early morning or late evening.,What time of day is recommended for transplanting seedlings?,Transplanting should be done in early morning or late evening hours as early as possible after removing the seedlings from the seed bed preferably within 15 to 30 minutes of uprooting.
25cm x 25cm or 30cm x 30cm.,What is the ideal spacing for planting a single seedling?,Single seedling is planted in a square pattern at a spacing of 25cm x 25cm or 30cm x 30 cm.
Field size rope well demarcated at equal lengths.,What should the soil field be like for proper transplanting?,A field size rope well demarcated at equal lengths of 25cm / 30cm and held straight along field facilitates proper transplanting in line and at equal distance.
For gap filling where seedlings fail to establish.,Why are SRI-nursery seedlings kept along side of the channels at transplanting time?,Gap filling may be done wherever seedlings fail to establish. For this purpose some SRI-nursery seedlings are kept along side of the channels at the time of transplanting.
Seedlings with soil intact roots.,What type of seedlings should be used for gap filling?,"For gap filling, seedlings along with soil intact roots should be used."
Gap filling.,What helps to ensure a proper crop stand for higher yield?,Gap filling will help to ensure proper crop stand for higher yield.
A thin layer of water above surface or saturated condition.,What is necessary for the establishment of seedlings during irrigation?,Only a thin layer of water above surface or saturated condition is required for proper establishment of seedlings.
As per the requirement under SRI.,When should the field be irrigated after the initial establishment of seedlings?,"After that, crop is irrigated only as per the requirement under SRI to maintain proper moisture in the field."
The field is kept moist and not flooded.,What care should be taken during irrigation to maintain proper field moisture?,The care is taken that the field is kept moist and not flooded.
During morning or late evening hours.,When is it preferable to apply irrigation during moderate amounts?,Irrigation should be applied in moderate amount preferably during morning or late evening hours when it is not too hot.
To minimize trauma to tiny roots during transplanting.,What is the objective of transplanting in a square pattern with specific spacing?,The tiny roots of the seedling should be gently plugged in the soil for minimizing the trauma during transplanting. Single seedling is planted in a square pattern at a spacing of 25cm x 25cm or 30cm x 30 cm.
Within 15 to 30 minutes of uprooting.,How soon should seedlings be transplanted after removing from the seedbed?,Transplanting should be done in early morning or late evening hours as early as possible after removing the seedlings from the seed bed preferably within 15 to 30 minutes of uprooting.
A field size rope well demarcated at equal lengths.,What ensures proper transplanting in line and at equal distance in the field?,A field size rope well demarcated at equal lengths of 25cm / 30cm and held straight along field facilitates proper transplanting in line and at equal distance.
"A thin layer of water above surface or saturated condition initially, then as per SRI requirements.",What should be the condition of water for proper establishment of rice seedlings under SRI?,"Only a thin layer of water above surface or saturated condition is required for proper establishment of seedlings. After that, crop is irrigated only as per the requirement under SRI to maintain proper moisture in the field."
By using SRI-nursery seedlings along the channels and seedlings with soil intact roots.,How is gap filling achieved during the transplantation process in rice fields under SRI?,"Gap filling may be done wherever seedlings fail to establish. For this purpose some SRI-nursery seedlings are kept along side of the channels at the time of transplanting. For gap filling, seedlings along with soil intact roots should be used."
Early weeding,What is always important for a good return in crop management?,"Whatever the crop, early weeding is always important for a good return."
One and a half months after transplanting,How is hand weeding usually done in traditional rice cultivation?,"In rice, where traditional weeding methods are used, hand weeding is usually done one and a half months after transplanting."
Hand weeding one and a half months after transplanting,What is far too late for two important reasons?,Hand weeding is usually done one and a half months after transplanting. This is far too late for two important reasons.
Good aeration in the soil,What opportunity do farmers lose by delaying weeding?,Farmers also lose the opportunity to have good aeration in the soil for easy availability of oxygen to roots.
Aeration of soil by weeding,What is more important than the removal of weeds in rice cultivation?,Aeration of soil by weeding may be even more important in rice cultivation than the removal of weeds.
Involving lots of drudgery,What makes hand weeding laborious and cumbersome?,Hand weeding is laborious and cumbersome involving lots of drudgery.
Using simple mechanical push-weeders like wheel hand hoe or cona weeders,How can SRI reduce the drudgery involved in weeding?,"In SRI, with wider spacing simple mechanical push-weeders like wheel hand hoe or cona weeders can be used which require less labour to avoid drudgery."
Irrigation of SRI field and weed incorporation with soil churning,What do figures 4.8 and 4.9 in the text depict?,Fig. 4.8: A very thin layer of water is sufficient for irrigation of SRI field. Fig. 4.9: Weed incorporation and soil churning.
It provides easy availability of oxygen to roots.,How can good aeration in soil benefit the plants?,Farmers also lose the opportunity to have good aeration in the soil for easy availability of oxygen to roots.
SRI fields only need a very thin layer of water for irrigation.,What does figure 4.8 indicate about SRI irrigation?,Fig. 4.8: A very thin layer of water is sufficient for irrigation of SRI field.
